"","timestamp","month","sentiment","html"
"201",2015-09-11,2015-09-01,1,"14 years after the terrorist <span class=""sentiment-1"">attacks</span> of 9/11 we <span class=""sentiment2"">honor</span> those we <span class=""sentiment-3"">lost</span> we salute all who serve to keep us <span class=""sentiment1"">safe</span> we stand as <span class=""sentiment2"">strong</span> as ever"
"200",2015-09-14,2015-09-01,0,"@fafsa might be <span class=""sentiment-1"">hard</span> to say but filling it out can <span class=""sentiment2"">help</span> you <span class=""sentiment-1"">pay</span> for college flotus you're up #5timesfafsa http//tco/y1jv8aeguh"
"199",2015-09-15,2015-09-01,-6,"7 years ago today lehman brothers filed for bankruptcy setting off the <span class=""sentiment-3"">worst</span> financial <span class=""sentiment-3"">crisis</span> in decades here's how far we've come"
"198",2015-09-15,2015-09-01,-2,"when i took office 800000 americans <span class=""sentiment-3"">lost</span> their jobs each month our businesses have now added 131 million jobs over 66 <span class=""sentiment1"">straight</span> months"
"197",2015-09-15,2015-09-01,-3,"we've <span class=""sentiment-1"">cut</span> the <span class=""sentiment-2"">unemployment</span> rate in half – from a high of 10% down to 51% and we're not done http//tco/urfasoigua"
"196",2015-09-15,2015-09-01,0,"in 2009 our auto industry was flatlining now our workers are on pace to sell more american cars and trucks than any year since 2001"
"195",2015-09-15,2015-09-01,-1,"when i took office 154% of our population was uninsured today we’ve <span class=""sentiment-1"">cut</span> that by more than a third http//tco/3ooqcz8oxp"
"194",2015-09-15,2015-09-01,-2,"when i took office the budget <span class=""sentiment-2"">deficit</span> had <span class=""sentiment1"">reached</span> 92% of our gdp we've <span class=""sentiment-1"">cut</span> that down to 28% http//tco/3viaw4b0bb"
"193",2015-09-15,2015-09-01,0,"we've fought back because of you we shouldn't slip back because of congress i urge them to send me a budget that invests in our future"
"192",2015-09-16,2015-09-01,11,"<span class=""sentiment1"">cool</span> clock ahmed <span class=""sentiment1"">want</span> to bring it to the white house we should <span class=""sentiment2"">inspire</span> more kids <span class=""sentiment2"">like</span> you to <span class=""sentiment2"">like</span> science it's what makes america <span class=""sentiment3"">great</span>"
"191",2015-09-22,2015-09-01,0,"our right to vote is sacred it's the foundation of our democracy you can find out how to register to vote at http//tco/8kaqy0u3fn"
"190",2015-09-22,2015-09-01,5,"millions of families are more <span class=""sentiment2"">secure</span> <span class=""sentiment2"">thanks</span> to the aca <span class=""sentiment1"">join</span> them and #getcovered on nov 1 http//tco/pj7xil6fjy  https//tco/gf6ys0ahol"
"189",2015-09-23,2015-09-01,11,"<span class=""sentiment2"">welcome</span> to the white house @pontifex your messages of <span class=""sentiment3"">love</span> <span class=""sentiment2"">hope</span> and <span class=""sentiment2"">peace</span> have <span class=""sentiment2"">inspired</span> us all"
"188",2015-09-23,2015-09-01,0,"yogi berra was an american original - a hall of famer <span class=""sentiment2"">jovial</span> prophet &amp a humble veteran we'll <span class=""sentiment-2"">miss</span> you yogi but your legacy ain't over"
"187",2015-09-26,2015-09-01,6,"i'm <span class=""sentiment3"">grateful</span> for the teachers who helped <span class=""sentiment1"">spark</span> my sense of curiosity the #62milliongirls who aren't in school should have that same <span class=""sentiment2"">chance</span>"
"186",2015-09-28,2015-09-01,-2,"nearly 12 million people have been displaced by the <span class=""sentiment-2"">conflict</span> in syria as americans we can't sit idly by that's not who we are"
"185",2015-09-28,2015-09-01,0,"we've provided more than $45 billion in humanitarian aid to <span class=""sentiment2"">help</span> meet the needs of those impacted by the syrian <span class=""sentiment-2"">conflict</span>"
"184",2015-09-28,2015-09-01,-1,"we're also increasing the number of syrian and other refugees we <span class=""sentiment-1"">admit</span> to the us to 100000 per year for the next two years"
"183",2015-09-28,2015-09-01,3,"but this isn't just about what i can do as president every single one of us - from citizens to ngos - can <span class=""sentiment2"">help</span> refugees find <span class=""sentiment1"">safe</span> haven"
"182",2015-09-28,2015-09-01,1,"we have a moral responsibility to do what we can for families <span class=""sentiment-1"">forced</span> from their homes find out how you can <span class=""sentiment2"">help</span> at http//tco/j8a6mtd6d4"
"181",2015-10-02,2015-10-01,2,"<span class=""sentiment2"">thanks</span> zack https//tco/gogzwmydxq"
"180",2015-10-14,2015-10-01,2,"<span class=""sentiment2"">congrats</span> @cubs - even @whitesox fans are rooting for you"
"179",2015-10-16,2015-10-01,3,"<span class=""sentiment2"">congrats</span> @hokuleawwv on <span class=""sentiment1"">reaching</span> africa—midpoint of worldwide voyage to spread message of caring for the one planet we've got #malamahonua"
"178",2015-10-19,2015-10-01,3,"i just met with ceos of some of our biggest companies who are stepping up to #actonclimate it's <span class=""sentiment3"">good</span> for the planet - and the bottom line"
"177",2015-10-20,2015-10-01,4,"i got a <span class=""sentiment2"">chance</span> to catch up with the @space_station crew today nothing <span class=""sentiment2"">like</span> a call to space on #astronomynight https//tco/jvlzydq8jo"
